# Simulation 1 (Up to date)
# 1008 data points written for 16 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Lateral velocity (ft/s),Lateral acceleration (G),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-0.43195,0,0.43195,0,0,423343,161.7,0,0.62813,0,0.51812,0.052058,0.057949
0.01,0,0,0.70218,0,0.70218,0,0,421804,485.1,0,0.62854,0,0.51853,0.052058,0.057949
0.02,0.00113,0.22602,1.8369,0.22602,1.8369,0,0,420525,808.49,2.7874e-6,0.62888,6.7503e-5,0.51887,0.052058,0.057949
0.03,0.006346,0.81721,2.9722,0.81721,2.9722,0,0,422129,1131.9,1.2484e-4,0.62845,0.0030004,0.51844,0.052058,0.057949
0.04,0.0193,1.7737,4.108,1.7737,4.108,0,0,433045,1455.3,0.0011578,0.62559,0.026441,0.51558,0.052058,0.057949
0.05,0.043647,3.0957,5.2442,3.0957,5.2442,0,0,462425,1778.7,0.005313,0.61835,0.10641,0.50834,0.052059,0.057949
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.083042,4.7834,6.3809,4.7834,6.3809,0,0,518925,2102.1,0.016115,0.60599,0.2563,0.49598,0.052059,0.05795
0.07,0.14114,6.8368,7.5181,6.8368,7.5181,0,0,608289,2425.5,0.037171,0.58968,0.43022,0.47967,0.052059,0.057951
0.08,0.22161,9.2562,8.301,9.2562,8.301,0,0,731684,2647.8,0.071068,0.57172,0.56851,0.46171,0.05206,0.057953
0.09,0.32753,11.928,8.3529,11.928,8.3529,0,0,881135,2661.9,0.11722,0.55464,0.64656,0.44463,0.052062,0.057956
0.1,0.46024,14.616,8.3838,14.616,8.3838,0,0,1039591,2669.5,0.1708,0.54023,0.67681,0.43021,0.052063,0.05796
0.11,0.6199,17.315,8.4149,17.315,8.4149,0,0,1203799,2677.2,0.23051,0.52804,0.68121,0.41801,0.052065,0.057964
0.12,0.80659,20.023,8.4461,20.023,8.4461,0,0,1371733,2684.9,0.29564,0.51761,0.67288,0.40757,0.052068,0.05797
