# Simulation 1 (Up to date)
# 1002 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-0.4237
0.01,0,0,0.72693
0.02,0.0011698,0.23399,1.8782
0.03,0.0065318,0.83845,3.03
0.04,0.019792,1.8136,4.1823
0.05,0.044657,3.1595,5.3351
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.084836,4.8764,6.4884
0.07,0.14404,6.9644,7.6422
0.08,0.22598,9.4237,8.4365
0.09,0.33379,12.139,8.4892
0.1,0.46884,14.871,8.5206
0.11,0.63127,17.614,8.5522
0.12,0.82117,20.367,8.5838
0.13,1.0386,23.129,8.6154
0.14,1.2838,25.903,8.6471
0.15,1.5567,28.686,8.6787
0.16,1.8576,31.479,8.7104
0.17,2.1864,34.283,8.7421
0.18,2.5433,37.097,8.7737
0.19,2.9284,39.921,8.8054
0.2,3.3417,42.755,8.8371
0.21,3.7835,45.599,8.8688
0.22,4.2538,48.454,8.9006
0.23,4.7526,51.319,8.9323
0.24,5.2802,54.194,8.9639
0.25,5.8366,57.079,8.9844
0.26,6.4218,59.971,8.9972
0.27,7.036,62.867,9.0101
0.28,7.6792,65.767,9.023
0.29,8.3514,68.671,9.0359
0.3,9.0526,71.58,9.0488
0.31,9.783,74.492,9.0616
# Event LAUNCHROD occurred at t=0.32 seconds
0.32,10.542,77.409,9.0744
0.335,11.736,81.791,9.0946
0.3575,13.651,88.382,9.1248
0.39125,16.801,98.306,9.1695
0.44125,22.086,113.09,9.2168
0.49125,28.112,127.94,9.2601
0.54125,34.882,142.87,9.3027
0.59125,42.4,157.86,9.3327
0.64125,50.669,172.9,9.3554
0.69125,59.691,187.98,9.3775
0.74125,69.468,203.09,9.3985
0.79125,80.001,218.24,9.4181
0.84125,91.292,233.42,9.437
0.89125,103.34,248.62,9.4552
0.94125,116.16,263.86,9.4728
0.99125,129.73,279.12,9.4898
1.0413,144.07,294.41,9.506
1.0913,159.17,309.73,9.5238
1.1413,175.04,325.07,9.5423
1.1913,191.68,340.45,9.56
1.2413,209.09,355.85,9.5733
1.2913,227.26,371.27,9.5778
1.3413,246.21,386.7,9.5813
1.3913,265.93,402.13,9.5834
1.4413,286.43,417.57,9.5818
1.4913,307.69,433,9.5786
1.5413,329.73,448.43,9.5745
1.5913,352.53,463.85,9.5697
1.6413,376.11,479.26,9.5643
1.6913,400.46,494.66,9.5581
1.7413,425.58,510.05,9.5492
1.7913,451.47,525.43,9.5336
1.8413,478.12,540.78,9.517
1.8913,505.54,556.11,9.4985
1.9413,533.73,571.4,9.4685
1.9913,562.68,586.64,9.4348
2.0413,592.39,601.83,9.4004
2.0913,622.86,616.97,9.357
2.1413,654.09,632.03,9.3056
2.1913,686.06,647.01,9.2531
2.2413,718.79,661.91,9.1947
2.2913,752.25,676.7,9.1219
2.3412,786.46,691.39,9.0468
2.3912,821.39,705.95,8.9701
2.4412,857.05,720.38,8.886
2.4912,893.42,734.68,8.7992
2.5412,930.51,748.84,8.7109
2.5912,968.3,762.85,8.6218
2.6412,1006.8,776.72,8.5316
2.6912,1046,790.45,8.4402
